loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_bully_precision,eval_bully_recall,eval_bully_f1,eval_bully_support,eval_sexual_precision,eval_sexual_recall,eval_sexual_f1,eval_sexual_support,eval_religious_precision,eval_religious_recall,eval_religious_f1,eval_religious_support,eval_threat_precision,eval_threat_recall,eval_threat_f1,eval_threat_support,eval_spam_precision,eval_spam_recall,eval_spam_f1,eval_spam_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4235,1.9203300476074219,1.9404978749241047e-05,0.09107468123861566,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.317,1.8832690715789795,1.8797814207650276e-05,0.18214936247723132,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2697,1.857464075088501,1.8190649666059502e-05,0.273224043715847,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2639,3.0417940616607666,1.7583485124468735e-05,0.36429872495446264,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2608,2.5048699378967285,1.697632058287796e-05,0.4553734061930783,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2491,2.58988356590271,1.636915604128719e-05,0.546448087431694,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2371,2.876967191696167,1.576199149969642e-05,0.6375227686703097,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.231,4.609072685241699,1.5154826958105649e-05,0.7285974499089253,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2257,3.040821075439453,1.4547662416514876e-05,0.819672131147541,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2198,5.168302536010742,1.3940497874924106e-05,0.9107468123861566,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,549,0.21323837339878082,0.8371980676328502,0.8034306907742235,0.819966879583629,0.8375865568169563,0.7176996916129733,0.7694722390895419,0.8539755351681957,0.9103504482477588,0.8812623274161736,1227.0,0.6510791366906474,0.565625,0.6053511705685619,320.0,0.927536231884058,0.803347280334728,0.8609865470852018,239.0,0.875,0.6572769953051644,0.7506702412868632,213.0,0.8803418803418803,0.6518987341772152,0.7490909090909091,158.0,3.5729,526.745,33.027,,,,,
0.2256,2.6032586097717285,1.3333333333333333e-05,1.0018214936247722,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1767,2.866006374359131,1.2726168791742564e-05,1.092896174863388,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1734,4.886701583862305,1.2119004250151792e-05,1.1839708561020037,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1717,2.207742214202881,1.1511839708561021e-05,1.2750455373406193,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1764,2.8644044399261475,1.0904675166970249e-05,1.366120218579235,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1619,2.4030263423919678,1.0297510625379478e-05,1.4571948998178508,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1732,2.850511312484741,9.690346083788708e-06,1.5482695810564664,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1735,4.0823588371276855,9.083181542197937e-06,1.639344262295082,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1654,4.2622389793396,8.476017000607165e-06,1.7304189435336976,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1784,3.2920033931732178,7.868852459016394e-06,1.8214936247723132,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1738,3.2492809295654297,7.261687917425623e-06,1.9125683060109289,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1098,0.19519513845443726,0.8760288065843621,0.789522484932777,0.8305291392343331,0.8541093232781105,0.7301025204954755,0.7852617458761485,0.9033078880407125,0.8679706601466992,0.885286783042394,1227.0,0.7242798353909465,0.55,0.6252220248667851,320.0,0.9351851851851852,0.8451882845188284,0.8879120879120879,239.0,0.8359788359788359,0.7417840375586855,0.7860696517412935,213.0,0.8717948717948718,0.6455696202531646,0.7418181818181818,158.0,3.7888,496.726,31.144,,,,,
0.1657,2.729609966278076,6.654523375834852e-06,2.0036429872495445,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1342,3.8497283458709717,6.0473588342440805e-06,2.09471766848816,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1408,3.1562836170196533,5.440194292653309e-06,2.185792349726776,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1353,2.733936071395874,4.833029751062538e-06,2.276867030965392,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124,2.563694953918457,4.225865209471768e-06,2.3679417122040074,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1255,3.2132060527801514,3.618700667880996e-06,2.459016393442623,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1289,3.694831609725952,3.0115361262902247e-06,2.5500910746812386,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1256,1.401319980621338,2.4043715846994536e-06,2.6411657559198543,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1287,4.492945194244385,1.7972070431086827e-06,2.73224043715847,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1305,4.39260196685791,1.1900425015179115e-06,2.8233151183970855,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1387,6.000458717346191,5.828779599271403e-07,2.9143897996357016,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,1647,0.19359223544597626,0.8672566371681416,0.8178025034770514,0.8418038654259127,0.8456519281688856,0.7546203854641259,0.7950222908246319,0.8925686591276252,0.9005704971475142,0.896551724137931,1227.0,0.7368421052631579,0.56875,0.6419753086419753,320.0,0.9251101321585903,0.8786610878661087,0.9012875536480687,239.0,0.8059701492537313,0.7605633802816901,0.782608695652174,213.0,0.8677685950413223,0.6645569620253164,0.7526881720430108,158.0,3.9317,478.668,30.012,,,,,
,,,3.0,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.9039,83.93,5.247,1733027645339136.0,0.1895930603481309
